point_A,point_B,heure_depart,jour_semaine,meteo,moyen_transport,distance_km,indice_trafic,duree_min,prob_accident
Zongo,Akpakpa,19,Weekend,Forte Pluie,Zem,3.38,1.0,11.6,0.16
Zongo,Etoile,16,Weekend,Ensoleillé,Zem,1.45,1.0,2.5,0.04
Zongo,Fidjrosse,7,Semaine,Ensoleillé,Zem,6.66,2.45,28.0,0.04
Zongo,Calavi,22,Semaine,Ensoleillé,Voiture,12.45,1.15,19.1,0.01
Calavi,Akpakpa,10,Weekend,Ensoleillé,Zem,14.46,1.0,24.8,0.04
Fidjrosse,Zongo,12,Weekend,Ensoleillé,Zem,6.66,1.0,11.4,0.04
Etoile,Zongo,20,Semaine,Pluie Légère,Zem,1.45,1.38,4.3,0.04
Zongo,Calavi,22,Semaine,Ensoleillé,Zem,12.45,1.31,27.9,0.04
Etoile,Zongo,4,Weekend,Ensoleillé,Voiture,1.45,1.0,1.9,0.01
Fidjrosse,Cadjehoun,23,Semaine,Ensoleillé,Voiture,3.92,1.46,7.6,0.01
Fidjrosse,Etoile,12,Weekend,Pluie Légère,Zem,7.91,1.0,16.9,0.04
Akpakpa,Calavi,4,Semaine,Pluie Légère,Voiture,14.46,1.34,32.4,0.01
Akpakpa,Fidjrosse,15,Weekend,Pluie Légère,Zem,10.0,1.0,21.4,0.04
Akpakpa,Fidjrosse,1,Weekend,Ensoleillé,Zem,10.0,1.0,17.1,0.04
Calavi,Zongo,0,Semaine,Forte Pluie,Zem,12.45,1.31,56.0,0.16
Zongo,Fidjrosse,18,Semaine,Ensoleillé,Zem,6.66,2.97,33.9,0.04
Calavi,Akpakpa,10,Semaine,Pluie Légère,Zem,14.46,1.54,47.6,0.04
Calavi,Etoile,11,Weekend,Ensoleillé,Voiture,12.72,1.0,17.0,0.01
Fidjrosse,Akpakpa,11,Semaine,Forte Pluie,Zem,10.0,1.3,44.5,0.16
Akpakpa,Etoile,6,Weekend,Ensoleillé,Voiture,2.12,1.0,2.8,0.01
Fidjrosse,Cadjehoun,12,Semaine,Pluie Légère,Zem,3.92,1.27,10.7,0.04
Etoile,Cadjehoun,7,Semaine,Pluie Légère,Voiture,4.18,2.81,19.6,0.01
Cadjehoun,Calavi,21,Semaine,Forte Pluie,Zem,11.27,1.2,46.3,0.16
Etoile,Zongo,6,Semaine,Pluie Légère,Zem,1.45,1.53,4.7,0.04
Etoile,Fidjrosse,20,Semaine,Pluie Légère,Voiture,7.91,1.17,15.5,0.01
Cadjehoun,Etoile,14,Semaine,Ensoleillé,Zem,4.18,1.55,11.1,0.04
Etoile,Zongo,1,Semaine,Pluie Légère,Bus,1.45,1.24,4.5,0.005
Etoile,Akpakpa,22,Weekend,Forte Pluie,Voiture,2.12,1.0,5.7,0.02
Cadjehoun,Etoile,19,Semaine,Pluie Légère,Zem,4.18,3.82,34.2,0.04
Cadjehoun,Calavi,11,Semaine,Forte Pluie,Bus,11.27,1.5,67.4,0.01
Etoile,Cadjehoun,0,Semaine,Pluie Légère,Zem,4.18,1.39,12.5,0.04
Cadjehoun,Calavi,22,Semaine,Ensoleillé,Zem,11.27,1.43,27.7,0.04
Etoile,Fidjrosse,21,Semaine,Ensoleillé,Bus,7.91,1.26,20.0,0.005
Zongo,Etoile,4,Semaine,Ensoleillé,Voiture,1.45,1.39,2.7,0.01
Etoile,Fidjrosse,0,Weekend,Forte Pluie,Voiture,7.91,1.0,21.1,0.02
Fidjrosse,Cadjehoun,0,Semaine,Pluie Légère,Voiture,3.92,1.25,8.2,0.01
Calavi,Etoile,9,Semaine,Ensoleillé,Bus,12.72,2.92,74.4,0.005
Akpakpa,Etoile,21,Semaine,Ensoleillé,Voiture,2.12,1.48,4.2,0.01
Akpakpa,Zongo,20,Semaine,Ensoleillé,Voiture,3.38,1.22,5.5,0.01
Zongo,Cadjehoun,14,Semaine,Ensoleillé,Zem,2.81,1.52,7.3,0.04
Etoile,Calavi,16,Semaine,Ensoleillé,Voiture,12.72,1.29,21.8,0.01
Zongo,Fidjrosse,21,Semaine,Ensoleillé,Voiture,6.66,1.37,12.1,0.01
Zongo,Etoile,2,Semaine,Forte Pluie,Voiture,1.45,1.57,6.1,0.02
Zongo,Calavi,12,Semaine,Ensoleillé,Zem,12.45,1.44,30.7,0.04
Calavi,Cadjehoun,15,Semaine,Ensoleillé,Zem,11.27,1.42,27.5,0.04
Fidjrosse,Zongo,7,Semaine,Ensoleillé,Zem,6.66,3.48,39.7,0.04
Zongo,Etoile,14,Semaine,Ensoleillé,Voiture,1.45,1.56,3.0,0.01
Calavi,Cadjehoun,16,Semaine,Pluie Légère,Zem,11.27,1.22,29.6,0.04
Cadjehoun,Calavi,16,Semaine,Pluie Légère,Voiture,11.27,1.41,26.4,0.01
Fidjrosse,Akpakpa,21,Semaine,Ensoleillé,Zem,10.0,1.3,22.3,0.04
Akpakpa,Fidjrosse,16,Semaine,Ensoleillé,Zem,10.0,1.11,19.0,0.04
Cadjehoun,Etoile,5,Semaine,Pluie Légère,Voiture,4.18,1.16,8.1,0.01
Calavi,Akpakpa,15,Semaine,Ensoleillé,Voiture,14.46,1.26,24.3,0.01
Cadjehoun,Fidjrosse,13,Semaine,Pluie Légère,Zem,3.92,1.38,11.6,0.04
Fidjrosse,Cadjehoun,12,Weekend,Pluie Légère,Voiture,3.92,1.0,6.5,0.01
Zongo,Cadjehoun,5,Semaine,Pluie Légère,Zem,2.81,1.54,9.3,0.04
Zongo,Fidjrosse,2,Semaine,Ensoleillé,Voiture,6.66,1.5,13.3,0.01
Cadjehoun,Zongo,7,Semaine,Ensoleillé,Zem,2.81,3.2,15.4,0.04
Akpakpa,Etoile,14,Semaine,Ensoleillé,Zem,2.12,1.14,4.1,0.04
Zongo,Calavi,12,Semaine,Ensoleillé,Zem,12.45,1.24,26.5,0.04
Cadjehoun,Fidjrosse,16,Semaine,Ensoleillé,Bus,3.92,1.28,10.1,0.005
Akpakpa,Fidjrosse,20,Semaine,Ensoleillé,Bus,10.0,1.41,28.2,0.005
Calavi,Akpakpa,23,Weekend,Forte Pluie,Voiture,14.46,1.0,38.6,0.02
Fidjrosse,Etoile,2,Weekend,Ensoleillé,Zem,7.91,1.0,13.6,0.04
Fidjrosse,Zongo,5,Semaine,Ensoleillé,Zem,6.66,1.13,12.9,0.04
Akpakpa,Cadjehoun,4,Semaine,Ensoleillé,Voiture,6.19,1.37,11.3,0.01
Zongo,Cadjehoun,21,Semaine,Pluie Légère,Zem,2.81,1.55,9.3,0.04
Akpakpa,Fidjrosse,16,Weekend,Ensoleillé,Bus,10.0,1.0,20.0,0.005
Cadjehoun,Etoile,22,Semaine,Pluie Légère,Zem,4.18,1.45,13.0,0.04
Akpakpa,Calavi,1,Semaine,Ensoleillé,Bus,14.46,1.5,43.3,0.005
Fidjrosse,Akpakpa,14,Semaine,Pluie Légère,Zem,10.0,1.44,30.9,0.04
Akpakpa,Etoile,4,Semaine,Ensoleillé,Voiture,2.12,1.2,3.4,0.01
Zongo,Etoile,19,Semaine,Ensoleillé,Zem,1.45,2.4,6.0,0.04
Calavi,Akpakpa,5,Weekend,Pluie Légère,Voiture,14.46,1.0,24.1,0.01
Etoile,Fidjrosse,5,Semaine,Pluie Légère,Zem,7.91,1.51,25.7,0.04
Akpakpa,Etoile,17,Semaine,Ensoleillé,Voiture,2.12,3.45,9.8,0.01
Zongo,Cadjehoun,17,Semaine,Ensoleillé,Voiture,2.81,3.24,12.1,0.01
Zongo,Akpakpa,3,Semaine,Ensoleillé,Zem,3.38,1.19,6.9,0.04
Fidjrosse,Zongo,13,Weekend,Ensoleillé,Zem,6.66,1.0,11.4,0.04
Zongo,Fidjrosse,13,Weekend,Ensoleillé,Zem,6.66,1.0,11.4,0.04
Zongo,Akpakpa,12,Weekend,Ensoleillé,Zem,3.38,1.0,5.8,0.04
Cadjehoun,Calavi,22,Semaine,Pluie Légère,Voiture,11.27,1.4,26.3,0.01
Cadjehoun,Etoile,14,Weekend,Ensoleillé,Voiture,4.18,1.0,5.6,0.01
Fidjrosse,Calavi,18,Semaine,Forte Pluie,Zem,9.53,2.26,73.7,0.16
Akpakpa,Etoile,10,Semaine,Pluie Légère,Voiture,2.12,1.16,4.1,0.01
Zongo,Etoile,14,Weekend,Pluie Légère,Voiture,1.45,1.0,2.4,0.01
Calavi,Akpakpa,11,Semaine,Ensoleillé,Voiture,14.46,1.26,24.2,0.01
Calavi,Fidjrosse,16,Semaine,Pluie Légère,Zem,9.53,1.32,27.0,0.04
Akpakpa,Etoile,2,Semaine,Ensoleillé,Voiture,2.12,1.16,3.3,0.01
Fidjrosse,Zongo,18,Semaine,Ensoleillé,Voiture,6.66,2.42,21.5,0.01
Zongo,Cadjehoun,19,Weekend,Pluie Légère,Zem,2.81,1.0,6.0,0.04
Zongo,Fidjrosse,3,Semaine,Pluie Légère,Voiture,6.66,1.46,16.2,0.01
Etoile,Akpakpa,2,Weekend,Forte Pluie,Zem,2.12,1.0,7.3,0.16
Akpakpa,Fidjrosse,11,Semaine,Ensoleillé,Voiture,10.0,1.38,18.5,0.01
Akpakpa,Fidjrosse,7,Weekend,Ensoleillé,Voiture,10.0,1.0,13.3,0.01
Cadjehoun,Fidjrosse,23,Semaine,Ensoleillé,Zem,3.92,1.37,9.2,0.04
Etoile,Fidjrosse,16,Semaine,Ensoleillé,Voiture,7.91,1.33,14.0,0.01
Cadjehoun,Calavi,10,Semaine,Ensoleillé,Voiture,11.27,1.59,23.9,0.01
Cadjehoun,Calavi,17,Semaine,Ensoleillé,Voiture,11.27,2.29,34.4,0.01
Calavi,Etoile,2,Semaine,Forte Pluie,Zem,12.72,1.19,51.9,0.16
Fidjrosse,Zongo,3,Semaine,Pluie Légère,Zem,6.66,1.42,20.3,0.04
Fidjrosse,Calavi,12,Semaine,Pluie Légère,Voiture,9.53,1.17,18.6,0.01
Cadjehoun,Fidjrosse,5,Weekend,Pluie Légère,Voiture,3.92,1.0,6.5,0.01
Etoile,Fidjrosse,13,Weekend,Forte Pluie,Zem,7.91,1.0,27.1,0.16
Akpakpa,Calavi,4,Semaine,Pluie Légère,Zem,14.46,1.39,43.2,0.04
Etoile,Fidjrosse,14,Semaine,Forte Pluie,Zem,7.91,1.38,37.5,0.16
Zongo,Etoile,14,Semaine,Forte Pluie,Bus,1.45,1.59,9.2,0.01
Calavi,Akpakpa,3,Semaine,Ensoleillé,Voiture,14.46,1.54,29.7,0.01
Calavi,Akpakpa,7,Weekend,Ensoleillé,Zem,14.46,1.0,24.8,0.04
Fidjrosse,Calavi,15,Weekend,Ensoleillé,Voiture,9.53,1.0,12.7,0.01
Akpakpa,Cadjehoun,15,Semaine,Ensoleillé,Voiture,6.19,1.57,13.0,0.01
Akpakpa,Calavi,3,Semaine,Ensoleillé,Voiture,14.46,1.16,22.3,0.01
Zongo,Calavi,12,Semaine,Ensoleillé,Zem,12.45,1.53,32.7,0.04
Zongo,Akpakpa,12,Semaine,Ensoleillé,Zem,3.38,1.16,6.7,0.04
Calavi,Fidjrosse,1,Semaine,Ensoleillé,Zem,9.53,1.42,23.1,0.04
Cadjehoun,Calavi,2,Weekend,Pluie Légère,Voiture,11.27,1.0,18.8,0.01
Calavi,Cadjehoun,23,Semaine,Pluie Légère,Zem,11.27,1.46,35.3,0.04
Etoile,Fidjrosse,14,Semaine,Ensoleillé,Zem,7.91,1.18,16.0,0.04
Cadjehoun,Akpakpa,10,Semaine,Forte Pluie,Zem,6.19,1.42,30.0,0.16
Calavi,Etoile,8,Semaine,Ensoleillé,Bus,12.72,2.29,58.4,0.005
Cadjehoun,Etoile,6,Semaine,Ensoleillé,Zem,4.18,1.25,8.9,0.04
Cadjehoun,Zongo,12,Semaine,Ensoleillé,Zem,2.81,1.56,7.5,0.04
Cadjehoun,Calavi,1,Weekend,Ensoleillé,Bus,11.27,1.0,22.5,0.005
Calavi,Akpakpa,7,Semaine,Ensoleillé,Voiture,14.46,2.51,48.4,0.01
Fidjrosse,Etoile,23,Weekend,Ensoleillé,Zem,7.91,1.0,13.6,0.04
Cadjehoun,Akpakpa,11,Weekend,Ensoleillé,Voiture,6.19,1.0,8.2,0.01
Akpakpa,Fidjrosse,6,Semaine,Pluie Légère,Voiture,10.0,1.13,18.9,0.01
Calavi,Etoile,9,Weekend,Ensoleillé,Zem,12.72,1.0,21.8,0.04
Akpakpa,Calavi,15,Semaine,Ensoleillé,Zem,14.46,1.32,32.8,0.04
Etoile,Calavi,2,Semaine,Ensoleillé,Voiture,12.72,1.53,25.9,0.01
Calavi,Zongo,9,Semaine,Ensoleillé,Voiture,12.45,2.34,38.8,0.01
Cadjehoun,Zongo,5,Semaine,Ensoleillé,Voiture,2.81,1.28,4.8,0.01
Fidjrosse,Etoile,17,Semaine,Pluie Légère,Zem,7.91,3.82,64.7,0.04
Zongo,Calavi,4,Semaine,Pluie Légère,Voiture,12.45,1.16,24.1,0.01
Zongo,Akpakpa,20,Semaine,Pluie Légère,Voiture,3.38,1.26,7.1,0.01
Etoile,Akpakpa,6,Semaine,Ensoleillé,Bus,2.12,1.49,6.3,0.005
Cadjehoun,Etoile,1,Weekend,Ensoleillé,Voiture,4.18,1.0,5.6,0.01
Cadjehoun,Calavi,12,Semaine,Pluie Légère,Voiture,11.27,1.37,25.8,0.01
Akpakpa,Fidjrosse,22,Weekend,Ensoleillé,Zem,10.0,1.0,17.1,0.04
Etoile,Zongo,4,Semaine,Pluie Légère,Zem,1.45,1.52,4.7,0.04
Etoile,Fidjrosse,5,Semaine,Pluie Légère,Zem,7.91,1.16,19.6,0.04
Zongo,Akpakpa,23,Semaine,Ensoleillé,Zem,3.38,1.56,9.0,0.04
Cadjehoun,Fidjrosse,13,Semaine,Pluie Légère,Voiture,3.92,1.57,10.3,0.01
Zongo,Calavi,3,Semaine,Ensoleillé,Voiture,12.45,1.18,19.5,0.01
Cadjehoun,Akpakpa,22,Semaine,Forte Pluie,Zem,6.19,1.12,23.7,0.16
Zongo,Etoile,5,Semaine,Pluie Légère,Zem,1.45,1.59,4.9,0.04
Calavi,Fidjrosse,9,Semaine,Ensoleillé,Zem,9.53,3.07,50.1,0.04
Fidjrosse,Etoile,17,Weekend,Ensoleillé,Voiture,7.91,1.0,10.5,0.01
Fidjrosse,Etoile,14,Weekend,Pluie Légère,Zem,7.91,1.0,16.9,0.04
Fidjrosse,Cadjehoun,7,Semaine,Pluie Légère,Voiture,3.92,3.23,21.1,0.01
Fidjrosse,Akpakpa,8,Weekend,Pluie Légère,Zem,10.0,1.0,21.4,0.04
Akpakpa,Zongo,4,Semaine,Forte Pluie,Zem,3.38,1.41,16.3,0.16
Fidjrosse,Calavi,9,Weekend,Pluie Légère,Voiture,9.53,1.0,15.9,0.01
Etoile,Akpakpa,5,Semaine,Ensoleillé,Zem,2.12,1.49,5.4,0.04
Etoile,Zongo,15,Semaine,Ensoleillé,Voiture,1.45,1.51,2.9,0.01
Akpakpa,Calavi,23,Semaine,Pluie Légère,Bus,14.46,1.2,43.3,0.005
Fidjrosse,Akpakpa,2,Semaine,Pluie Légère,Bus,10.0,1.22,30.5,0.005
Fidjrosse,Calavi,9,Semaine,Ensoleillé,Voiture,9.53,3.78,48.0,0.01
Fidjrosse,Etoile,10,Semaine,Ensoleillé,Voiture,7.91,1.51,15.9,0.01
Zongo,Fidjrosse,10,Weekend,Ensoleillé,Zem,6.66,1.0,11.4,0.04
Cadjehoun,Fidjrosse,16,Semaine,Ensoleillé,Voiture,3.92,1.41,7.4,0.01
Zongo,Calavi,3,Semaine,Ensoleillé,Zem,12.45,1.6,34.1,0.04
Fidjrosse,Zongo,16,Weekend,Ensoleillé,Zem,6.66,1.0,11.4,0.04
Fidjrosse,Zongo,8,Semaine,Ensoleillé,Zem,6.66,3.52,40.2,0.04
Zongo,Etoile,4,Weekend,Ensoleillé,Zem,1.45,1.0,2.5,0.04
Cadjehoun,Zongo,21,Semaine,Pluie Légère,Zem,2.81,1.21,7.3,0.04
Etoile,Fidjrosse,23,Semaine,Ensoleillé,Voiture,7.91,1.52,16.1,0.01
Cadjehoun,Etoile,5,Semaine,Pluie Légère,Voiture,4.18,1.31,9.1,0.01
Zongo,Akpakpa,2,Semaine,Pluie Légère,Voiture,3.38,1.12,6.3,0.01
Calavi,Zongo,21,Weekend,Ensoleillé,Zem,12.45,1.0,21.3,0.04
Calavi,Akpakpa,19,Semaine,Forte Pluie,Zem,14.46,2.78,137.7,0.16
Akpakpa,Zongo,21,Semaine,Pluie Légère,Zem,3.38,1.48,10.7,0.04
Zongo,Akpakpa,15,Weekend,Forte Pluie,Voiture,3.38,1.0,9.0,0.02
Akpakpa,Etoile,22,Semaine,Pluie Légère,Voiture,2.12,1.58,5.6,0.01
Etoile,Fidjrosse,10,Semaine,Ensoleillé,Zem,7.91,1.24,16.8,0.04
Cadjehoun,Akpakpa,12,Semaine,Ensoleillé,Voiture,6.19,1.22,10.1,0.01
Calavi,Cadjehoun,9,Semaine,Ensoleillé,Zem,11.27,3.21,62.1,0.04
Cadjehoun,Akpakpa,2,Weekend,Ensoleillé,Zem,6.19,1.0,10.6,0.04
Akpakpa,Zongo,8,Semaine,Ensoleillé,Zem,3.38,3.66,21.2,0.04
Calavi,Etoile,11,Semaine,Pluie Légère,Bus,12.72,1.47,46.8,0.005
Cadjehoun,Calavi,22,Weekend,Ensoleillé,Voiture,11.27,1.0,15.0,0.01
Zongo,Etoile,13,Semaine,Ensoleillé,Voiture,1.45,1.38,2.7,0.01
Fidjrosse,Calavi,0,Weekend,Pluie Légère,Voiture,9.53,1.0,15.9,0.01
Cadjehoun,Fidjrosse,16,Semaine,Ensoleillé,Zem,3.92,1.42,9.5,0.04
Akpakpa,Cadjehoun,8,Weekend,Pluie Légère,Zem,6.19,1.0,13.3,0.04
Akpakpa,Etoile,8,Semaine,Pluie Légère,Zem,2.12,2.64,12.0,0.04
Calavi,Zongo,22,Semaine,Ensoleillé,Voiture,12.45,1.32,21.9,0.01
Fidjrosse,Zongo,18,Semaine,Ensoleillé,Zem,6.66,2.66,30.4,0.04
Zongo,Fidjrosse,14,Semaine,Ensoleillé,Zem,6.66,1.54,17.6,0.04
Akpakpa,Calavi,4,Weekend,Ensoleillé,Zem,14.46,1.0,24.8,0.04
Cadjehoun,Etoile,14,Weekend,Forte Pluie,Voiture,4.18,1.0,11.1,0.02
Etoile,Akpakpa,19,Weekend,Pluie Légère,Zem,2.12,1.0,4.5,0.04
Akpakpa,Zongo,22,Semaine,Pluie Légère,Zem,3.38,1.16,8.4,0.04
Akpakpa,Fidjrosse,1,Semaine,Forte Pluie,Voiture,10.0,1.44,38.4,0.02
Fidjrosse,Etoile,12,Semaine,Pluie Légère,Voiture,7.91,1.23,16.2,0.01
Zongo,Etoile,23,Weekend,Ensoleillé,Zem,1.45,1.0,2.5,0.04
Calavi,Etoile,14,Semaine,Pluie Légère,Voiture,12.72,1.34,28.4,0.01
Cadjehoun,Etoile,13,Semaine,Ensoleillé,Bus,4.18,1.25,10.4,0.005
Etoile,Zongo,9,Semaine,Pluie Légère,Voiture,1.45,2.78,6.7,0.01
Calavi,Fidjrosse,13,Weekend,Forte Pluie,Zem,9.53,1.0,32.7,0.16
Cadjehoun,Calavi,22,Weekend,Ensoleillé,Zem,11.27,1.0,19.3,0.04
Zongo,Etoile,8,Semaine,Pluie Légère,Zem,1.45,2.67,8.3,0.04
Calavi,Cadjehoun,2,Weekend,Pluie Légère,Bus,11.27,1.0,28.2,0.005
Fidjrosse,Akpakpa,15,Semaine,Pluie Légère,Zem,10.0,1.48,31.6,0.04
Fidjrosse,Akpakpa,1,Semaine,Ensoleillé,Zem,10.0,1.28,22.0,0.04
Fidjrosse,Calavi,2,Semaine,Ensoleillé,Zem,9.53,1.46,23.9,0.04
Etoile,Calavi,10,Semaine,Ensoleillé,Voiture,12.72,1.33,22.5,0.01
Zongo,Akpakpa,10,Semaine,Ensoleillé,Zem,3.38,1.37,7.9,0.04
Cadjehoun,Akpakpa,20,Weekend,Ensoleillé,Zem,6.19,1.0,10.6,0.04
Calavi,Zongo,21,Weekend,Ensoleillé,Voiture,12.45,1.0,16.6,0.01
Fidjrosse,Etoile,12,Weekend,Pluie Légère,Voiture,7.91,1.0,13.2,0.01
Fidjrosse,Calavi,6,Semaine,Pluie Légère,Zem,9.53,1.37,28.0,0.04
Akpakpa,Cadjehoun,22,Semaine,Ensoleillé,Zem,6.19,1.59,16.8,0.04
Zongo,Fidjrosse,16,Semaine,Pluie Légère,Zem,6.66,1.28,18.3,0.04
Etoile,Fidjrosse,1,Weekend,Ensoleillé,Zem,7.91,1.0,13.6,0.04
Cadjehoun,Etoile,11,Semaine,Ensoleillé,Bus,4.18,1.2,10.1,0.005
Akpakpa,Cadjehoun,9,Semaine,Ensoleillé,Bus,6.19,3.84,47.5,0.005
Calavi,Akpakpa,21,Semaine,Ensoleillé,Voiture,14.46,1.19,22.9,0.01
Cadjehoun,Zongo,10,Semaine,Forte Pluie,Zem,2.81,1.52,14.6,0.16
Calavi,Zongo,15,Weekend,Ensoleillé,Bus,12.45,1.0,24.9,0.005
Etoile,Akpakpa,16,Weekend,Ensoleillé,Bus,2.12,1.0,4.2,0.005
Akpakpa,Fidjrosse,18,Semaine,Ensoleillé,Zem,10.0,2.47,42.3,0.04
Akpakpa,Calavi,17,Weekend,Pluie Légère,Zem,14.46,1.0,31.0,0.04
Zongo,Fidjrosse,2,Semaine,Pluie Légère,Voiture,6.66,1.43,15.9,0.01
Etoile,Zongo,20,Weekend,Pluie Légère,Zem,1.45,1.0,3.1,0.04
Akpakpa,Etoile,15,Semaine,Forte Pluie,Zem,2.12,1.18,8.5,0.16
Etoile,Akpakpa,5,Semaine,Forte Pluie,Bus,2.12,1.56,13.2,0.01
Cadjehoun,Zongo,11,Semaine,Pluie Légère,Bus,2.81,1.38,9.7,0.005
Fidjrosse,Zongo,10,Weekend,Ensoleillé,Zem,6.66,1.0,11.4,0.04
Akpakpa,Calavi,14,Semaine,Pluie Légère,Zem,14.46,1.26,39.2,0.04
Zongo,Akpakpa,14,Semaine,Ensoleillé,Voiture,3.38,1.17,5.3,0.01
Cadjehoun,Calavi,15,Semaine,Pluie Légère,Voiture,11.27,1.29,24.1,0.01
Etoile,Akpakpa,9,Weekend,Pluie Légère,Zem,2.12,1.0,4.5,0.04
Cadjehoun,Fidjrosse,12,Semaine,Ensoleillé,Voiture,3.92,1.45,7.6,0.01
Akpakpa,Etoile,3,Semaine,Pluie Légère,Bus,2.12,1.29,6.9,0.005
Fidjrosse,Akpakpa,21,Semaine,Ensoleillé,Zem,10.0,1.22,21.0,0.04
Akpakpa,Zongo,14,Semaine,Pluie Légère,Zem,3.38,1.39,10.0,0.04
Calavi,Akpakpa,6,Weekend,Ensoleillé,Zem,14.46,1.0,24.8,0.04
Etoile,Calavi,14,Semaine,Ensoleillé,Zem,12.72,1.31,28.5,0.04
Cadjehoun,Fidjrosse,13,Weekend,Ensoleillé,Zem,3.92,1.0,6.7,0.04
Fidjrosse,Calavi,7,Semaine,Forte Pluie,Bus,9.53,2.5,95.2,0.01
Fidjrosse,Calavi,11,Weekend,Pluie Légère,Zem,9.53,1.0,20.4,0.04
Zongo,Akpakpa,12,Semaine,Pluie Légère,Voiture,3.38,1.18,6.6,0.01
Calavi,Akpakpa,10,Semaine,Ensoleillé,Voiture,14.46,1.45,28.0,0.01
Zongo,Akpakpa,3,Semaine,Ensoleillé,Voiture,3.38,1.59,7.1,0.01
Calavi,Zongo,20,Weekend,Ensoleillé,Voiture,12.45,1.0,16.6,0.01
Zongo,Fidjrosse,7,Semaine,Ensoleillé,Zem,6.66,2.62,29.9,0.04
Calavi,Fidjrosse,4,Semaine,Ensoleillé,Zem,9.53,1.49,24.3,0.04
Calavi,Akpakpa,15,Semaine,Ensoleillé,Voiture,14.46,1.14,22.0,0.01
Etoile,Zongo,3,Weekend,Ensoleillé,Bus,1.45,1.0,2.9,0.005
Calavi,Fidjrosse,21,Semaine,Pluie Légère,Zem,9.53,1.29,26.4,0.04
Fidjrosse,Calavi,14,Semaine,Ensoleillé,Voiture,9.53,1.35,17.2,0.01
Calavi,Fidjrosse,11,Semaine,Forte Pluie,Zem,9.53,1.23,40.3,0.16
Calavi,Fidjrosse,4,Semaine,Ensoleillé,Voiture,9.53,1.36,17.3,0.01
Calavi,Zongo,22,Weekend,Pluie Légère,Zem,12.45,1.0,26.7,0.04
Akpakpa,Calavi,15,Weekend,Pluie Légère,Voiture,14.46,1.0,24.1,0.01
Fidjrosse,Zongo,13,Weekend,Forte Pluie,Zem,6.66,1.0,22.8,0.16
Fidjrosse,Akpakpa,9,Weekend,Pluie Légère,Voiture,10.0,1.0,16.7,0.01
Zongo,Etoile,6,Semaine,Ensoleillé,Voiture,1.45,1.54,3.0,0.01
Etoile,Fidjrosse,12,Semaine,Ensoleillé,Voiture,7.91,1.57,16.6,0.01
Calavi,Etoile,19,Weekend,Ensoleillé,Voiture,12.72,1.0,17.0,0.01
Cadjehoun,Zongo,4,Semaine,Ensoleillé,Voiture,2.81,1.15,4.3,0.01
Etoile,Zongo,2,Semaine,Ensoleillé,Voiture,1.45,1.24,2.4,0.01
Etoile,Zongo,14,Weekend,Pluie Légère,Voiture,1.45,1.0,2.4,0.01
Fidjrosse,Etoile,3,Semaine,Ensoleillé,Bus,7.91,1.59,25.1,0.005
Etoile,Zongo,14,Weekend,Pluie Légère,Voiture,1.45,1.0,2.4,0.01
Calavi,Akpakpa,13,Semaine,Forte Pluie,Voiture,14.46,1.24,47.6,0.02
Calavi,Zongo,19,Semaine,Pluie Légère,Zem,12.45,3.45,92.0,0.04
Akpakpa,Cadjehoun,18,Semaine,Pluie Légère,Voiture,6.19,2.66,27.4,0.01
Calavi,Etoile,12,Semaine,Pluie Légère,Zem,12.72,1.28,34.8,0.04
Calavi,Cadjehoun,9,Weekend,Ensoleillé,Voiture,11.27,1.0,15.0,0.01
Fidjrosse,Zongo,20,Semaine,Ensoleillé,Voiture,6.66,1.2,10.6,0.01
Calavi,Akpakpa,4,Semaine,Forte Pluie,Bus,14.46,1.53,88.4,0.01
Akpakpa,Fidjrosse,22,Semaine,Forte Pluie,Zem,10.0,1.54,52.8,0.16
Cadjehoun,Calavi,19,Semaine,Pluie Légère,Zem,11.27,2.73,66.0,0.04
Fidjrosse,Calavi,19,Semaine,Ensoleillé,Voiture,9.53,3.68,46.8,0.01
Cadjehoun,Zongo,5,Weekend,Pluie Légère,Zem,2.81,1.0,6.0,0.04
Fidjrosse,Akpakpa,3,Semaine,Ensoleillé,Zem,10.0,1.28,21.9,0.04
Zongo,Etoile,1,Weekend,Ensoleillé,Voiture,1.45,1.0,1.9,0.01
Etoile,Cadjehoun,21,Weekend,Ensoleillé,Voiture,4.18,1.0,5.6,0.01
Zongo,Cadjehoun,15,Semaine,Ensoleillé,Zem,2.81,1.15,5.5,0.04
Calavi,Cadjehoun,17,Semaine,Ensoleillé,Voiture,11.27,3.56,53.6,0.01
Cadjehoun,Etoile,4,Weekend,Ensoleillé,Zem,4.18,1.0,7.2,0.04
Etoile,Akpakpa,3,Semaine,Ensoleillé,Zem,2.12,1.4,5.1,0.04
Fidjrosse,Etoile,12,Semaine,Pluie Légère,Voiture,7.91,1.24,16.3,0.01
Etoile,Cadjehoun,18,Weekend,Pluie Légère,Zem,4.18,1.0,9.0,0.04
Akpakpa,Zongo,22,Weekend,Ensoleillé,Voiture,3.38,1.0,4.5,0.01
Etoile,Fidjrosse,1,Weekend,Ensoleillé,Zem,7.91,1.0,13.6,0.04
Akpakpa,Etoile,12,Semaine,Pluie Légère,Voiture,2.12,1.23,4.3,0.01
Cadjehoun,Akpakpa,3,Semaine,Pluie Légère,Voiture,6.19,1.59,16.4,0.01
